id,coin,pair,channel_name,best_ask_price,best_ask_whole_lot_volume,best_ask_lot_volume,best_bid_price,best_bid_whole_lot_volume,best_bid_lot_volume,close_price,close_lot_volume,volume_today,volume_last_24h,vwap_today,vwap_last_24h,number_of_trades_today,number_of_trades_last_24h,low_price_today,low_price_last_24h,high_price_today,high_price_last_24h,open_price_today,open_price_last_24h,received_at
2251799813685318,ADA,ADA/USD,ticker,0.35499200,80,80.98935078,0.35485000,595,595.11620427,0.35485000,2999.85084173,427384.84050372,2698095.15681778,0.35376800,0.34947600,617,1806,0.35036500,0.34394200,0.35679900,0.35679900,0.35073000,0.34638800,2024-10-19 10:17:19
2251799813685320,SOL,SOL/USD,ticker,154.95000000,201,201.06353355,154.94000000,0,0.15334564,154.94000000,0.01353000,17608.20524740,179543.05824904,154.71919000,154.71019000,3767,16340,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.58000000,2024-10-19 10:17:38
2251799813685301,ETH,ETH/USD,ticker,2644.47000000,124,124.36924338,2644.46000000,0,0.90490745,2644.46000000,0.00944975,633.79218991,5613.20382142,2644.97391000,2644.69572000,2798,12085,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2624.89000000,2024-10-19 10:14:30
2251799813685308,ADA,ADA/USD,ticker,0.35476000,81,81.01540842,0.35461800,5939,5939.53186834,0.35461800,18.11041300,423108.42256242,2693818.73887648,0.35375700,0.34946800,610,1799,0.35036500,0.34394200,0.35679900,0.35679900,0.35073000,0.34638800,2024-10-19 10:15:38
2251799813685319,SOL,SOL/USD,ticker,154.95000000,122,122.28473571,154.92000000,154,154.79110716,154.95000000,0.31800000,17608.19171740,179543.04471904,154.71919000,154.71019000,3766,16339,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.58000000,2024-10-19 10:17:33
2251799813685315,ADA,ADA/USD,ticker,0.35489100,13070,13070.03707073,0.35477900,33,33.79805661,0.35489100,1018.79583852,424236.39688972,2694946.71320378,0.35376000,0.34947000,613,1802,0.35036500,0.34394200,0.35679900,0.35679900,0.35073000,0.34638800,2024-10-19 10:16:57
2251799813685304,SOL,SOL/USD,ticker,154.82000000,99,99.66344903,154.81000000,345,345.91157506,154.82000000,0.75891000,17414.64412740,179351.37687810,154.71760000,154.71001000,3738,16330,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.42000000,2024-10-19 10:14:46
2251799813685307,SOL,SOL/USD,ticker,154.82000000,98,98.61275903,154.81000000,350,350.78623151,154.82000000,0.06069000,17415.69481740,179352.32756810,154.71760000,154.71001000,3740,16327,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.47000000,2024-10-19 10:15:22
2251799813685323,SOL,SOL/USD,ticker,154.99000000,215,215.96947354,154.96000000,0,0.07162837,154.96000000,0.07665000,19074.24974497,181009.10274661,154.73981000,154.71243000,3801,16374,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.58000000,2024-10-19 10:18:27
2251799813685325,XBT,XBT/USD,ticker,68347.70000000,10,10.51118696,68347.60000000,0,0.81481693,68347.60000000,0.01988782,171.49810757,1108.42982674,68419.54001000,68500.81246000,6801,27543,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67836.90000000,2024-10-19 10:18:57
1125899906842799,ADA,ADA/USD,ticker,0.35502900,840,840.00000000,0.35502000,80,80.95892826,0.35532400,79.09746951,423090.31214942,2693800.62846348,0.35375700,0.34946800,609,1798,0.35036500,0.34394200,0.35679900,0.35679900,0.35073000,0.34638800,2024-10-19 10:14:30
2251799813685302,SOL,SOL/USD,ticker,154.82000000,100,100.49746903,154.81000000,345,345.90857506,154.81000000,0.68459000,17413.81010740,179350.54285810,154.71759000,154.71001000,3736,16328,154.09000000,152.25000000,155.90000000,156.50000000,154.93000000,153.42000000,2024-10-19 10:14:39
